frase,situacao
sinto dor no peito e falta de ar,alto risco
tive um leve incômodo nas costas,baixo risco
há dois dias sinto fortes dores de cabeça e visão turva,alto risco
estou com tosse leve e coriza desde ontem,baixo risco
sinto palpitações e tontura ao me levantar,alto risco
estou com dor de garganta e febre baixa,baixo risco
sinto dor intensa no abdômen e náusea constante,alto risco
acordei com leve dor muscular após exercícios,baixo risco
sinto pressão no peito e dificuldade para respirar,alto risco
estou com dor de cabeça leve e espirros frequentes,baixo risco
sinto desmaios ocasionais e falta de ar,alto risco
apenas uma leve dor de estômago depois de comer rápido,baixo risco
sinto dor aguda no peito acompanhada de suor frio,alto risco
sinto fadiga constante mesmo após descansar,alto risco
tive uma leve dor de ouvido ontem à noite,baixo risco
